x1,geo,pct_poverty_married,pct_labor_force,pct_unemployed,pct_not_in_labor_force,pct_female_labor_force,pct_parents_lf_under6,pct_parents_lf_6_17,pct_work_from_home,est_commute_time_min,pct_mgmt_occ,pct_service_occ,pct_manufacturing,pct_health_edu,pct_private_workers,pct_gov_workers,pct_self_employed,est_median_hh_income,est_mean_hh_income,est_per_capita_income,est_median_nonfamily_income,est_male_earnings,est_female_earnings,pct_ssi,pct_public_assistance,pct_snap,pct_poverty_all,pct_poverty_female_head,pct_poverty_18_64,pct_private_insurance,pct_uninsured,year,gdp_per_capita,gdp_pc_growth,post_covid
59,Connecticut,2.8,66.7,4.6,33.3,62.5,71.6,77.1,4.8,26.4,42.4,17,10.4,26.3,80.4,13.2,6.2,71346,101347,39430,41201,61666,50802,4.4,4,12.6,7.4,23.7,10,71.9,6,2015,74924.12696899955,3.376232827531389,0
111,Connecticut,2.8,66.6,4.2,33.4,62.5,73.5,75.2,5.2,26.3,42.8,18.2,10.4,26.6,80.6,12.7,6.5,73433,105255,41087,41608,64220,50991,4.8,3.9,13.1,6.8,21.4,9.6,71.9,4.9,2016,74918.69725657364,-0.007246947873229548,0
163,Connecticut,2.7,65.7,4,34.3,61.6,70.5,76,5.1,26.4,43.6,18.1,10.5,26.6,80.6,12.5,6.6,74168,107420,42029,44532,62976,52120,4.7,4.1,12,6.4,19.5,9.2,71.4,5.5,2017,76601.47723674832,2.2461415398237428,0
215,Connecticut,2.9,66,3.6,34,61.6,71.7,77.3,5.7,26.8,43.4,17.7,10.6,26,81.6,12.2,6,76348,111303,44026,43412,65948,55155,4.6,3.1,11.2,7.1,21.2,9.9,71,5.3,2018,76815.810389024,0.2798028967682331,0
267,Connecticut,2.6,66.2,3.5,33.8,62,75.3,77.5,5.6,27,44.7,18.3,9.9,27.2,80.3,13.3,6.2,78833,114630,45359,45001,66477,55636,4.9,3,11.1,6.8,22.1,9.4,69.4,5.9,2019,77179.9500956528,0.47404265448045546,0
319,Connecticut,2.8,65.6,4.4,34.4,61.4,72.8,76.4,19.5,25.6,46.8,15.8,11.1,27.1,80.1,13.3,6.4,83771,120009,48146,45211,73022,60672,4.6,3.2,11.7,6.7,18.1,9.7,69.2,5.2,2021,75054.72224493558,-2.7536009651254467,1
371,Connecticut,3,65.7,3.1,34.3,61.2,74.6,77.1,15.9,26.8,47.4,15.1,10.6,26.9,81.2,12.8,5.9,88429,128160,51581,50964,75047,63794,4.6,2.6,12,6.5,19.4,9.3,68.9,5.2,2022,77195.6668500655,2.8525115290455982,1
423,Connecticut,3.4,66.4,3,33.6,62.7,75.4,78.2,14.3,26.9,47.4,16.7,10.6,27.9,80.5,13.3,6.1,91665,131007,53119,53431,76477,64180,4.4,2.7,11.9,7.4,20.4,9.5,67.8,5.7,2023,77780.77420882092,0.7579536295629685,1
475,Connecticut,3,66.1,3.3,33.9,62.1,77.4,78.7,13.4,27,47.6,16.4,10.6,27.5,81,12.8,6.1,96049,139313,56190,56795,79701,66096,4.9,2.7,11.9,7.7,22.6,9.4,67.6,5.8,2024,77878.37033525298,0.12547589995703934,1
8,Delaware,3.5,63.1,4.2,36.9,59.7,72.4,77.4,4.4,24.6,38.8,18,9.2,24,81.4,14.4,4.1,59716,78773,30488,36973,50976,41278,4.2,2.5,12.9,8.5,23.2,11.9,71.1,7.8,2014,79261.8614106701,NA,0
